country,year,uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Rwanda,2016,uniqueid_124,No,Rural,No,6,38,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_125,No,Rural,Yes,5,26,Female,Child,Single/Never Married,Primary education,Other Income
Rwanda,2016,uniqueid_126,No,Rural,No,4,21,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_127,No,Rural,Yes,4,24,Male,Child,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_128,No,Rural,Yes,2,25,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_129,No,Rural,Yes,5,19,Female,Parent,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_130,No,Rural,Yes,8,40,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_131,No,Rural,No,2,60,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_132,No,Rural,No,4,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_133,No,Rural,Yes,4,24,Male,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_134,No,Rural,Yes,4,43,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_135,No,Rural,Yes,7,25,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_136,No,Urban,Yes,5,27,Female,Head of Household,Divorced/Seperated,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_137,No,Rural,Yes,3,23,Female,Spouse,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_138,No,Rural,Yes,6,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_139,No,Rural,No,2,66,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_140,No,Rural,Yes,5,45,Female,Spouse,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_141,No,Rural,No,4,32,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_142,No,Rural,Yes,2,44,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_143,No,Rural,Yes,1,53,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_144,No,Rural,Yes,4,53,Female,Head of Household,Divorced/Seperated,No formal education,Self employed
Rwanda,2016,uniqueid_145,No,Rural,Yes,9,54,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_146,No,Rural,No,5,34,Female,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_147,No,Rural,Yes,4,26,Male,Parent,Single/Never Married,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_148,No,Rural,No,3,55,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_149,Yes,Urban,Yes,6,33,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_150,No,Rural,Yes,1,53,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_151,No,Urban,Yes,6,16,Male,Parent,Single/Never Married,Secondary education,Formally employed Government
Rwanda,2016,uniqueid_152,No,Rural,Yes,5,33,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_153,No,Rural,Yes,8,47,Male,Head of Household,Married/Living together,No formal education,Self employed
Rwanda,2016,uniqueid_154,No,Rural,Yes,11,19,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_155,No,Rural,Yes,5,42,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Rwanda,2016,uniqueid_156,No,Rural,Yes,3,51,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_157,No,Urban,Yes,5,67,Female,Head of Household,Widowed,No formal education,Self employed
Rwanda,2016,uniqueid_158,No,Rural,No,4,28,Male,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_159,No,Rural,Yes,6,39,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_160,Yes,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_161,No,Rural,Yes,7,52,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_162,No,Rural,Yes,4,41,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_163,No,Rural,Yes,4,32,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_164,No,Rural,Yes,4,49,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_165,No,Rural,Yes,7,54,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_166,No,Rural,Yes,2,25,Male,Parent,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_167,No,Rural,No,5,43,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_168,No,Urban,Yes,1,30,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_169,No,Rural,Yes,7,32,Female,Spouse,Married/Living together,Primary education,Other Income
Rwanda,2016,uniqueid_170,No,Rural,No,5,35,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_171,No,Rural,Yes,4,40,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_172,No,Rural,Yes,2,68,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_173,No,Rural,Yes,5,30,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_174,No,Urban,Yes,3,48,Male,Head of Household,Married/Living together,Tertiary education,Other Income
Rwanda,2016,uniqueid_175,No,Rural,Yes,3,20,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_176,No,Rural,Yes,5,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_177,No,Rural,Yes,5,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_178,No,Rural,Yes,4,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_179,No,Rural,Yes,7,41,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_180,No,Rural,Yes,4,26,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_181,No,Rural,Yes,6,54,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_182,No,Rural,Yes,3,65,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_183,No,Rural,No,5,45,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
Rwanda,2016,uniqueid_184,No,Rural,Yes,3,25,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_185,No,Rural,Yes,7,34,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_186,No,Rural,Yes,7,17,Male,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_187,No,Rural,Yes,4,30,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_188,No,Rural,Yes,6,40,Female,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_189,No,Rural,Yes,4,56,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_190,No,Rural,Yes,6,27,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_191,No,Rural,Yes,3,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_192,Yes,Urban,Yes,6,42,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Rwanda,2016,uniqueid_193,No,Rural,Yes,7,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_194,No,Rural,Yes,6,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_195,Yes,Rural,Yes,5,44,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Rwanda,2016,uniqueid_196,No,Rural,Yes,3,60,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_197,No,Rural,Yes,6,35,Female,Spouse,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_198,No,Rural,Yes,4,24,Female,Spouse,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_199,No,Rural,No,1,59,Male,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_200,No,Rural,Yes,4,29,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_201,No,Rural,Yes,4,37,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_202,No,Urban,Yes,4,25,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_203,No,Rural,Yes,5,70,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_204,No,Rural,No,6,55,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_205,No,Rural,No,4,48,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_206,No,Urban,Yes,5,27,Female,Other non-relatives,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_207,No,Rural,Yes,3,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_208,Yes,Rural,Yes,3,28,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_209,No,Rural,Yes,2,58,Female,Head of Household,Widowed,Primary education,Other Income
Rwanda,2016,uniqueid_210,No,Rural,No,3,80,Male,Head of Household,Married/Living together,No formal education,Self employed
Rwanda,2016,uniqueid_211,No,Rural,Yes,4,21,Female,Parent,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_212,No,Rural,Yes,4,46,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_213,No,Rural,Yes,2,82,Male,Head of Household,Divorced/Seperated,No formal education,Informally employed
Rwanda,2016,uniqueid_214,No,Rural,Yes,10,16,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_215,No,Rural,Yes,8,18,Male,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_216,No,Rural,Yes,7,19,Male,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_217,No,Rural,Yes,3,28,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_218,No,Rural,No,4,61,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_219,No,Rural,No,7,16,Female,Parent,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_220,No,Rural,Yes,3,63,Female,Head of Household,Widowed,Vocational/Specialised training,Farming and Fishing
Rwanda,2016,uniqueid_221,No,Rural,Yes,5,16,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_222,No,Rural,Yes,8,16,Female,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_223,No,Rural,Yes,2,21,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_224,Yes,Urban,Yes,3,28,Male,Head of Household,Married/Living together,Tertiary education,Informally employed
Rwanda,2016,uniqueid_225,No,Rural,No,6,36,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_226,No,Rural,Yes,5,22,Male,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_227,No,Rural,Yes,6,41,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_228,No,Rural,Yes,3,46,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_229,No,Rural,Yes,5,49,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_230,No,Rural,Yes,6,37,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_231,No,Rural,Yes,3,22,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_232,No,Rural,Yes,4,50,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_233,No,Rural,Yes,2,18,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_234,No,Rural,No,9,51,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_235,Yes,Urban,Yes,5,26,Male,Child,Single/Never Married,Tertiary education,Other Income
Rwanda,2016,uniqueid_236,No,Rural,Yes,8,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_237,No,Rural,Yes,4,48,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_238,No,Rural,No,6,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_239,No,Rural,Yes,4,22,Female,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_240,No,Rural,Yes,5,30,Female,Child,Single/Never Married,No formal education,Informally employed
Rwanda,2016,uniqueid_241,No,Rural,No,1,72,Female,Head of Household,Widowed,No formal education,Government Dependent
Rwanda,2016,uniqueid_242,No,Rural,No,2,39,Male,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,uniqueid_243,No,Rural,No,7,39,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_244,No,Rural,Yes,4,29,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_245,Yes,Rural,Yes,5,36,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_246,No,Rural,Yes,3,32,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_247,No,Rural,Yes,2,34,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_248,No,Rural,Yes,6,72,Male,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_249,No,Rural,Yes,5,17,Male,Parent,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_250,No,Rural,No,1,49,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_251,No,Rural,Yes,5,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_252,No,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_253,No,Urban,Yes,6,25,Female,Child,Single/Never Married,Tertiary education,Informally employed
Rwanda,2016,uniqueid_254,No,Rural,Yes,6,45,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_255,No,Rural,Yes,4,39,Female,Parent,Divorced/Seperated,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_256,No,Rural,Yes,6,45,Male,Head of Household,Married/Living together,Primary education,Government Dependent
Rwanda,2016,uniqueid_257,No,Rural,Yes,6,51,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,uniqueid_258,No,Rural,No,1,81,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_259,Yes,Rural,Yes,5,69,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_260,No,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_261,No,Rural,Yes,5,46,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_262,No,Rural,No,5,24,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_263,No,Rural,Yes,7,35,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_264,No,Rural,Yes,4,37,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_265,No,Rural,Yes,4,20,Female,Child,Single/Never Married,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_266,No,Rural,Yes,4,28,Female,Spouse,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_267,No,Rural,No,6,50,Male,Head of Household,Married/Living together,No formal education,Self employed
Rwanda,2016,uniqueid_268,No,Urban,Yes,6,17,Female,Child,Single/Never Married,Vocational/Specialised training,Farming and Fishing
Rwanda,2016,uniqueid_269,No,Rural,No,5,34,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_270,No,Rural,Yes,3,67,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_271,No,Rural,Yes,4,55,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_272,No,Rural,Yes,5,49,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_273,No,Rural,Yes,3,23,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_274,No,Rural,Yes,5,21,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_275,No,Rural,No,1,69,Female,Head of Household,Married/Living together,No formal education,Government Dependent
Rwanda,2016,uniqueid_276,No,Rural,Yes,7,34,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_277,No,Rural,No,3,53,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_278,No,Urban,Yes,5,28,Male,Head of Household,Married/Living together,No formal education,Self employed
Rwanda,2016,uniqueid_279,No,Rural,Yes,7,43,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_280,No,Rural,No,4,29,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_281,No,Rural,Yes,7,37,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_282,No,Rural,Yes,6,31,Female,Child,Divorced/Seperated,No formal education,Informally employed
Rwanda,2016,uniqueid_283,Yes,Rural,Yes,7,47,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_284,No,Rural,Yes,3,24,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_285,No,Urban,Yes,4,20,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_286,No,Rural,No,4,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_287,No,Rural,Yes,5,40,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_288,No,Rural,Yes,3,23,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_289,No,Rural,Yes,3,52,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_290,Yes,Rural,Yes,7,46,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_291,No,Rural,Yes,3,54,Female,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_292,No,Rural,Yes,5,37,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_293,No,Rural,No,5,36,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_294,No,Rural,Yes,3,65,Male,Head of Household,Widowed,No formal education,Other Income
Rwanda,2016,uniqueid_295,No,Rural,Yes,4,31,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_296,No,Urban,Yes,5,16,Male,Other non-relatives,Single/Never Married,No formal education,Informally employed
Rwanda,2016,uniqueid_297,No,Urban,No,4,71,Female,Child,Widowed,No formal education,Other Income
Rwanda,2016,uniqueid_298,No,Rural,Yes,2,28,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_299,No,Rural,No,1,75,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_300,No,Rural,Yes,2,27,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_301,No,Urban,No,6,53,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_302,No,Rural,Yes,3,30,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_303,No,Rural,Yes,6,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_304,No,Urban,Yes,5,42,Male,Head of Household,Married/Living together,Tertiary education,Informally employed
Rwanda,2016,uniqueid_305,No,Rural,Yes,7,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_306,No,Rural,Yes,2,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_307,No,Rural,Yes,8,39,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_308,No,Rural,Yes,6,38,Female,Spouse,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_309,No,Rural,Yes,3,88,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_310,No,Rural,Yes,7,44,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_311,No,Rural,No,6,50,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_312,No,Rural,Yes,7,22,Female,Child,Single/Never Married,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_313,No,Urban,Yes,6,35,Female,Head of Household,Divorced/Seperated,Secondary education,Self employed
Rwanda,2016,uniqueid_314,Yes,Urban,Yes,4,35,Female,Spouse,Married/Living together,Tertiary education,Remittance Dependent
Rwanda,2016,uniqueid_315,No,Rural,Yes,4,26,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_316,No,Rural,Yes,7,36,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_317,No,Rural,Yes,7,35,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_318,No,Rural,Yes,4,36,Female,Other non-relatives,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_319,No,Rural,Yes,6,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_320,No,Rural,Yes,2,26,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_321,No,Rural,No,1,25,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_322,No,Rural,Yes,2,18,Female,Child,Single/Never Married,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_323,No,Rural,Yes,5,19,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_324,Yes,Rural,Yes,5,65,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_325,No,Rural,Yes,3,49,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_326,No,Rural,Yes,2,38,Female,Spouse,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_327,No,Rural,Yes,6,37,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_328,No,Rural,Yes,8,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_329,No,Rural,No,6,52,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_330,No,Rural,Yes,3,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_331,No,Urban,Yes,5,36,Female,Head of Household,Widowed,Primary education,Dont Know/Refuse to answer
Rwanda,2016,uniqueid_332,No,Rural,Yes,4,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_333,No,Rural,Yes,4,24,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_334,Yes,Urban,Yes,1,25,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_335,No,Rural,No,4,24,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_336,No,Rural,Yes,6,67,Female,Head of Household,Widowed,Primary education,Government Dependent
Rwanda,2016,uniqueid_337,No,Rural,Yes,4,26,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_338,No,Rural,Yes,4,37,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_339,No,Urban,Yes,1,73,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_340,No,Rural,Yes,3,59,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_341,No,Rural,Yes,4,19,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_342,Yes,Rural,Yes,4,27,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_343,No,Rural,Yes,5,29,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_344,Yes,Rural,Yes,1,37,Male,Head of Household,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_345,No,Rural,Yes,3,32,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Rwanda,2016,uniqueid_346,No,Rural,Yes,6,51,Female,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_347,No,Rural,Yes,4,46,Female,Head of Household,Widowed,Primary education,Other Income
Rwanda,2016,uniqueid_348,No,Rural,Yes,7,37,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_349,No,Urban,Yes,3,28,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_350,No,Rural,No,10,24,Male,Parent,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_351,No,Rural,Yes,2,57,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,uniqueid_352,No,Rural,Yes,5,18,Male,Other non-relatives,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_353,No,Rural,Yes,3,25,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_354,No,Rural,Yes,2,52,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
Rwanda,2016,uniqueid_355,No,Rural,No,6,58,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_356,No,Rural,Yes,3,30,Female,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_357,No,Rural,Yes,3,66,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_358,No,Rural,Yes,6,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_359,No,Rural,No,3,66,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
